dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params
CBF,msm,elastic,0.3397017377009271,0.38985939349995624,2.553937600000154,42,7,length,0.25,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6108114133157141,0.6006510790742808,1.0685240000002523,42,8,length,0.25,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.3971022382829092,0.4363967542900995,1.8447972999997546,42,9,length,0.25,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.5794750251343527,0.5528587203223363,1.0987795999999435,42,10,length,0.25,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,sbd,sliding,0.4021481843040313,0.41380184045078555,2.143332399999963,42,1,length,0.25,930,150,128,3,"{""backend"": ""aeon"", ""n_jobs"": -1, ""candidate_k"": 20, ""paa_segments"": 32}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,sbd,sliding,0.4183343364923006,0.43349103581236015,2.1535085000004983,42,2,length,0.25,930,150,128,3,"{""backend"": ""aeon"", ""n_jobs"": -1, ""candidate_k"": 20, ""paa_segments"": 32}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,sbd,sliding,0.10399548089596847,0.13488027161803198,1.5910113000009005,42,3,length,0.25,930,150,128,3,"{""backend"": ""aeon"", ""n_jobs"": -1, ""candidate_k"": 20, ""paa_segments"": 32}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,sbd,sliding,0.30596503005624975,0.3412070528177972,1.2689678000006097,42,4,length,0.25,930,150,128,3,"{""backend"": ""aeon"", ""n_jobs"": -1, ""candidate_k"": 20, ""paa_segments"": 32}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,sbd,sliding,0.3177618957914445,0.33565920097867286,1.2456536999998207,42,5,length,0.25,930,150,128,3,"{""backend"": ""aeon"", ""n_jobs"": -1, ""candidate_k"": 20, ""paa_segments"": 32}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,sbd,sliding,0.3031841399106982,0.34099639750307287,1.2538708000001861,42,6,length,0.25,930,150,128,3,"{""backend"": ""aeon"", ""n_jobs"": -1, ""candidate_k"": 20, ""paa_segments"": 32}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,sbd,sliding,0.1259748050389922,0.12974532934921798,2.106427299999268,42,7,length,0.25,930,150,128,3,"{""backend"": ""aeon"", ""n_jobs"": -1, ""candidate_k"": 20, ""paa_segments"": 32}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,sbd,sliding,0.4492054063056081,0.47861068500258136,2.124098399999639,42,8,length,0.25,930,150,128,3,"{""backend"": ""aeon"", ""n_jobs"": -1, ""candidate_k"": 20, ""paa_segments"": 32}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,sbd,sliding,0.346733035504472,0.37958812086933247,2.146385800000644,42,9,length,0.25,930,150,128,3,"{""backend"": ""aeon"", ""n_jobs"": -1, ""candidate_k"": 20, ""paa_segments"": 32}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,sbd,sliding,0.37587400582468583,0.3699579285667659,2.146766600000774,42,10,length,0.25,930,150,128,3,"{""backend"": ""aeon"", ""n_jobs"": -1, ""candidate_k"": 20, ""paa_segments"": 32}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6112009150736945,0.6755172234515281,8.882053799999767,42,1,length,0.5,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6112009150736945,0.6755172234515281,7.980989099999988,42,2,length,0.5,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6112009150736945,0.6755172234515281,10.117828099999997,42,3,length,0.5,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6409265483436509,0.6579140056906809,8.22235620000015,42,4,length,0.5,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6112009150736945,0.6755172234515281,8.64903910000021,42,5,length,0.5,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.32660893276441033,0.3980109695993751,9.768991300000152,42,6,length,0.5,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.3997117707881301,0.46002007325387473,8.544606599999724,42,7,length,0.5,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6112009150736945,0.6755172234515281,9.36961539999993,42,8,length,0.5,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.3652497727234736,0.4651406428022934,8.520179499999813,42,9,length,0.5,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.3790489484534419,0.42488502326251415,7.738064699999995,42,10,length,0.5,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.3072542756956857,0.3945566458394243,0.003592699999899196,42,1,length,0.5,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
