dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params
CBF,ed,lock-step,0.16893402033819543,0.2679830770217819,0.0010642999999959102,42,5,noise,0.1,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.799321313118623,0.8007850308795834,6.562196300000011,42,5,noise,0.1,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.5988235902371511,0.662213405134164,0.9147265000000004,42,5,noise,0.1,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.2443027197559689,0.30427270382435917,0.0027153999999995904,42,6,noise,0.1,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.799321313118623,0.8007850308795834,6.724472199999994,42,6,noise,0.1,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.41982313756929474,0.5772018483250057,1.1109805999999907,42,6,noise,0.1,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.2418324721949096,0.303357015983491,0.0010290000000026112,42,7,noise,0.1,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.17896922328318146,0.22848826774623746,6.73474689999999,42,7,noise,0.1,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6079614833520314,0.636791920330416,1.0418051999999989,42,7,noise,0.1,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.23151017964231918,0.27133450995489344,0.0009218000000146276,42,8,noise,0.1,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.799321313118623,0.8007850308795834,6.246382099999977,42,8,noise,0.1,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.5034737290531152,0.561347726060604,1.0760094999999978,42,8,noise,0.1,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.20671900462336312,0.2189912733566708,0.013119399999993675,42,9,noise,0.1,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.4079028171076743,0.5520870537279715,6.1685961000000304,42,9,noise,0.1,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.4372937835985926,0.5996404861149102,0.9911510999999678,42,9,noise,0.1,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.19947203098280664,0.23377087002851635,0.0011883000000239008,42,10,noise,0.1,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.17896922328318146,0.22848826774623746,6.20679100000001,42,10,noise,0.1,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.27623691130985145,0.31307169023289405,0.9218188000000112,42,10,noise,0.1,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.25551307952099256,0.305987650447644,0.0014606000000014774,42,1,noise,0.2,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
