dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params,seed,window_label,window_size,window_step,window_fraction,mode
Trace,idk,distributional,0.23703040862278052,0.2751876161742882,3.861395000014454,42,1,sliding,w=28 (0.10L),200,200,275,4,"{""window_size"": 28, ""window_step"": 7, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,w=28 (0.10L),28,7,0.1,sliding
Trace,idk,distributional,0.4670900997824885,0.5033410543134127,2.4066376999835484,42,1,sliding,w=55 (0.20L),200,200,275,4,"{""window_size"": 55, ""window_step"": 14, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,w=55 (0.20L),55,14,0.2,sliding
Trace,idk,distributional,-0.0001005126143330988,0.028139362565568395,0.13416160002816468,42,2,direct,direct,200,200,275,4,"{""window_size"": 275, ""window_step"": 275, ""no_window_threshold"": 275, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,direct,275,275,,direct
Trace,idk,distributional,0.1891191324390255,0.24584978478651712,6.792805899982341,42,2,sliding,w=14 (0.05L),200,200,275,4,"{""window_size"": 14, ""window_step"": 4, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=14 (0.05L),14,4,0.05,sliding
Trace,idk,distributional,0.2356375262143804,0.27463774131994206,3.77930319996085,42,2,sliding,w=28 (0.10L),200,200,275,4,"{""window_size"": 28, ""window_step"": 7, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=28 (0.10L),28,7,0.1,sliding
Trace,idk,distributional,0.20556106912432393,0.2564351975347409,2.466585199988913,42,2,sliding,w=55 (0.20L),200,200,275,4,"{""window_size"": 55, ""window_step"": 14, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=55 (0.20L),55,14,0.2,sliding
Trace,idk,distributional,3.555548262123223e-05,0.02827720403170553,0.13935449998825788,42,3,direct,direct,200,200,275,4,"{""window_size"": 275, ""window_step"": 275, ""no_window_threshold"": 275, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,direct,275,275,,direct
Trace,idk,distributional,0.2559975723179035,0.2823744221462812,10.180500499962363,42,3,sliding,w=14 (0.05L),200,200,275,4,"{""window_size"": 14, ""window_step"": 4, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,w=14 (0.05L),14,4,0.05,sliding
Trace,idk,distributional,0.11394311623507905,0.15407328031959835,3.7377627000096254,42,3,sliding,w=28 (0.10L),200,200,275,4,"{""window_size"": 28, ""window_step"": 7, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,w=28 (0.10L),28,7,0.1,sliding
Trace,idk,distributional,0.19048403300449612,0.2373150036307374,2.364561600028537,42,3,sliding,w=55 (0.20L),200,200,275,4,"{""window_size"": 55, ""window_step"": 14, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,w=55 (0.20L),55,14,0.2,sliding
