dataset,measure,paradigm,ari,nmi,runtime,seed,perturbation_type,perturbation_level,n_samples,series_length,k
DiatomSizeReduction,sbd,sliding,0.053384462548855656,0.27624034259426716,0.19515930000034132,1,none,0,322,345,4
DiatomSizeReduction,idk,distributional,0.5567910131627571,0.5959511239063956,3.5713846000007834,1,none,0,322,345,4
DiatomSizeReduction,sbd,sliding,0.030390316898478858,0.22928998212713184,0.16218250000019907,2,none,0,322,345,4
DiatomSizeReduction,idk,distributional,0.570076482072257,0.607010576318854,2.630283700000291,2,none,0,322,345,4
DiatomSizeReduction,sbd,sliding,0.06513760713724447,0.2539427491891444,0.15996850000010454,3,none,0,322,345,4
DiatomSizeReduction,idk,distributional,0.7280825101566061,0.7378517692221369,2.744076699999823,3,none,0,322,345,4
DiatomSizeReduction,sbd,sliding,0.03428783620368776,0.23517486503904375,0.19436060000043653,4,none,0,322,345,4
DiatomSizeReduction,idk,distributional,0.5462359326298297,0.5834855444960895,2.7584541999995054,4,none,0,322,345,4
DiatomSizeReduction,sbd,sliding,0.10401378681679377,0.3249641599583613,0.15568919999986974,5,none,0,322,345,4
DiatomSizeReduction,idk,distributional,0.741808950045701,0.7541142573161745,2.7471404999996594,5,none,0,322,345,4
FaceFour,sbd,sliding,0.3733175709726305,0.46665738328074985,0.16276440000001458,1,none,0,112,350,4
FaceFour,idk,distributional,0.3839899423997126,0.42799245098087474,1.2628706000004968,1,none,0,112,350,4
FaceFour,sbd,sliding,0.2930644859126398,0.3314209364968514,0.05553239999971993,2,none,0,112,350,4
FaceFour,idk,distributional,0.3416763464979038,0.3861047519703931,0.36309979999987263,2,none,0,112,350,4
FaceFour,sbd,sliding,0.410674322641723,0.4626229901360865,0.05834549999963201,3,none,0,112,350,4
FaceFour,idk,distributional,0.35201816597145097,0.379764072253152,0.4512736999995468,3,none,0,112,350,4
FaceFour,sbd,sliding,0.2978657700635742,0.41268025340858716,0.05717350000031729,4,none,0,112,350,4
FaceFour,idk,distributional,0.38083579531008993,0.44353267539260743,0.37850479999997333,4,none,0,112,350,4
FaceFour,sbd,sliding,0.276017684391836,0.4333635535200726,0.055599700000129815,5,none,0,112,350,4
FaceFour,idk,distributional,0.34746053630281193,0.38459771306224727,0.3569367999998576,5,none,0,112,350,4
Symbols,sbd,sliding,0.017949970354748726,0.17448228457583242,1.30850670000018,1,none,0,1020,398,6
Symbols,idk,distributional,0.6785460604747501,0.7536844084218847,12.281098200000088,1,none,0,1020,398,6
Symbols,sbd,sliding,0.014482996389763752,0.20415385198008973,0.4783999999999651,2,none,0,1020,398,6
Symbols,idk,distributional,0.3787328725862316,0.5178969078099657,11.949890500000038,2,none,0,1020,398,6
Symbols,sbd,sliding,0.031053008443886386,0.23925445811940357,0.46228080000037153,3,none,0,1020,398,6
Symbols,idk,distributional,0.6405732586450611,0.7401989584445468,12.043210599999838,3,none,0,1020,398,6
Symbols,sbd,sliding,0.02145829303294804,0.21606553957197985,0.47007850000045437,4,none,0,1020,398,6
Symbols,idk,distributional,0.6782774478693916,0.7408567416357249,11.997478700000102,4,none,0,1020,398,6
Symbols,sbd,sliding,0.02324521092192114,0.23238766537323322,0.43538790000002336,5,none,0,1020,398,6
Symbols,idk,distributional,0.3645090234072901,0.5169009998561376,13.71666120000009,5,none,0,1020,398,6
OSULeaf,sbd,sliding,0.03955996526956432,0.13352287639261248,1.0076003000003766,1,none,0,442,427,6
OSULeaf,idk,distributional,0.08894774509786954,0.16416987071174866,5.267262100000153,1,none,0,442,427,6
OSULeaf,sbd,sliding,0.03173307969325793,0.13804935442982577,0.2599228999997649,2,none,0,442,427,6
OSULeaf,idk,distributional,0.1268515150803288,0.17197074900903125,5.202611500000785,2,none,0,442,427,6
OSULeaf,sbd,sliding,0.03796422720721647,0.1664056660352852,0.262495900000431,3,none,0,442,427,6
OSULeaf,idk,distributional,0.09531961580397397,0.14347250952173135,5.514957499999582,3,none,0,442,427,6
OSULeaf,sbd,sliding,0.007779935174893994,0.09137316731890574,0.2738610000005792,4,none,0,442,427,6
OSULeaf,idk,distributional,0.12173540085071875,0.16764511783936142,5.457323799999358,4,none,0,442,427,6
OSULeaf,sbd,sliding,-0.004589468969135368,0.12219696716166857,0.29032769999957964,5,none,0,442,427,6
OSULeaf,idk,distributional,0.07096267991439752,0.10456817754237582,5.545535999999629,5,none,0,442,427,6
Beef,sbd,sliding,0.10910535876475931,0.2833997573048363,0.7491471000003003,1,none,0,60,470,5
Beef,idk,distributional,0.1310856864654333,0.2963112167366584,0.33193260000007285,1,none,0,60,470,5
Beef,sbd,sliding,0.10551412153074947,0.23733369289721234,0.04659719999926892,2,none,0,60,470,5
Beef,idk,distributional,0.05707354056103108,0.19780421166606726,0.1290886999995564,2,none,0,60,470,5
Beef,sbd,sliding,0.10626973915077786,0.2539298370680308,0.0452752999999575,3,none,0,60,470,5
Beef,idk,distributional,0.08077399625655761,0.28635300142631703,0.16542200000003504,3,none,0,60,470,5
Beef,sbd,sliding,0.09678665913617313,0.22283838490607763,0.0451506999997946,4,none,0,60,470,5
Beef,idk,distributional,0.051366219871736424,0.1804330203632247,0.13999649999914254,4,none,0,60,470,5
Beef,sbd,sliding,0.12334346853307326,0.2838371031847012,0.0835335000001578,5,none,0,60,470,5
Beef,idk,distributional,0.08810850594048995,0.2972165692954723,0.11158249999971304,5,none,0,60,470,5
Mallat,sbd,sliding,0.010904345021921199,0.1896813674792084,5.034030499999972,1,none,0,2400,1024,8
Mallat,idk,distributional,0.5779805814520679,0.6967185626874063,30.78193469999951,1,none,0,2400,1024,8
Mallat,sbd,sliding,0.0035708559414510737,0.13270020742152772,5.955135199999859,2,none,0,2400,1024,8
Mallat,idk,distributional,0.6249027458814799,0.7217827953136355,28.899347399999897,2,none,0,2400,1024,8
Mallat,sbd,sliding,0.0037775058301420953,0.13088750924719902,4.969471799999155,3,none,0,2400,1024,8
Mallat,idk,distributional,0.6869188027785076,0.7572092446080166,29.322340300000178,3,none,0,2400,1024,8
Mallat,sbd,sliding,0.004310157892623389,0.13365308775288529,4.957339699999466,4,none,0,2400,1024,8
Mallat,idk,distributional,0.7665242768805396,0.8070622091458108,28.887401699999828,4,none,0,2400,1024,8
Mallat,sbd,sliding,0.0030654064366032337,0.12442942547839347,4.081994099999974,5,none,0,2400,1024,8
Mallat,idk,distributional,0.5332298286151343,0.6427243699511316,29.603928300000007,5,none,0,2400,1024,8
